program_code,region,model_line,my,term_months,model_code,model_description,bonus_cash,apr_tier_1,apr_tier_2,apr_tier_3,apr_tier_4,apr_tier_5,apr_tier_6,apr_tier_7,apr_tier_8
H700,MS,ELANTRA N,2026,61-72,4N4A2FT5,4dr Sdn N,0,0.0669,0.0669,0.0799,0.0899,0.1149,0.1249,0.1349,0.1499
H700,MS,ELANTRA N,2026,61-72,4N4A3FT5,4dr Sdn N MT,0,0.0669,0.0669,0.0799,0.0899,0.1149,0.1249,0.1349,0.1499
H700,MS,ELANTRA N,2025,24,4N4A2FT5,4dr N DCT,0,0.0589,0.0589,0.0629,0.0679,0.0899,0.0999,0.1199,0.1299
H700,MS,ELANTRA N,2025,24,4N4A3FT5,4dr N MT,0,0.0589,0.0589,0.0629,0.0679,0.0899,0.0999,0.1199,0.1299
H700,MS,ELANTRA N,2025,25-36,4N4A2FT5,4dr N DCT,0,0.0589,0.0589,0.0629,0.0679,0.0899,0.0999,0.1199,0.1299
H700,MS,ELANTRA N,2025,25-36,4N4A3FT5,4dr N MT,0,0.0589,0.0589,0.0629,0.0679,0.0899,0.0999,0.1199,0.1299
H700,MS,ELANTRA N,2025,37-48,4N4A2FT5,4dr N DCT,0,0.0589,0.0589,0.0629,0.0679,0.0899,0.0999,0.1199,0.1299
H700,MS,ELANTRA N,2025,37-48,4N4A3FT5,4dr N MT,0,0.0589,0.0589,0.0629,0.0679,0.0899,0.0999,0.1199,0.1299
H700,MS,ELANTRA N,2025,49-60,4N4A2FT5,4dr N DCT,0,0.0589,0.0589,0.0629,0.0679,0.0899,0.0999,0.1199,0.1299
H700,MS,ELANTRA N,2025,49-60,4N4A3FT5,4dr N MT,0,0.0589,0.0589,0.0629,0.0679,0.0899,0.0999,0.1199,0.1299
H700,MS,ELANTRA N,2025,61-72,4N4A2FT5,4dr N DCT,0,0.0669,0.0669,0.0799,0.0899,0.1149,0.1249,0.1349,0.1499
H700,MS,ELANTRA N,2025,61-72,4N4A3FT5,4dr N MT,0,0.0669,0.0669,0.0799,0.0899,0.1149,0.1249,0.1349,0.1499
H700,MS,IONIQ 5,2026,24,51412AEZ,IONIQ 5 SE AWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,24,51412REZ,IONIQ 5 SE RWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,24,51442AEZ,IONIQ 5 SEL AWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,24,51442REZ,IONIQ 5 SEL RWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,24,51452AEZ,IONIQ 5 XRT AWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,24,51462AEZ,IONIQ 5 Limited AWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,24,51462REZ,IONIQ 5 Limited RWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,25-36,51412AEZ,IONIQ 5 SE AWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,25-36,51412REZ,IONIQ 5 SE RWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,25-36,51442AEZ,IONIQ 5 SEL AWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,25-36,51442REZ,IONIQ 5 SEL RWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,25-36,51452AEZ,IONIQ 5 XRT AWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,25-36,51462AEZ,IONIQ 5 Limited AWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,25-36,51462REZ,IONIQ 5 Limited RWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,37-48,51412AEZ,IONIQ 5 SE AWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,37-48,51412REZ,IONIQ 5 SE RWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,37-48,51442AEZ,IONIQ 5 SEL AWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,37-48,51442REZ,IONIQ 5 SEL RWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,37-48,51452AEZ,IONIQ 5 XRT AWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,37-48,51462AEZ,IONIQ 5 Limited AWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,37-48,51462REZ,IONIQ 5 Limited RWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,49-60,51412AEZ,IONIQ 5 SE AWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,49-60,51412REZ,IONIQ 5 SE RWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,49-60,51442AEZ,IONIQ 5 SEL AWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,49-60,51442REZ,IONIQ 5 SEL RWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,49-60,51452AEZ,IONIQ 5 XRT AWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,49-60,51462AEZ,IONIQ 5 Limited AWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,49-60,51462REZ,IONIQ 5 Limited RWD,0,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1099
H700,MS,IONIQ 5,2026,61-72,51412AEZ,IONIQ 5 SE AWD,0,0.0449,0.0449,0.0549,0.0649,0.0849,0.0949,0.1049,0.1149
H700,MS,IONIQ 5,2026,61-72,51412REZ,IONIQ 5 SE RWD,0,0.0449,0.0449,0.0549,0.0649,0.0849,0.0949,0.1049,0.1149
H700,MS,IONIQ 5,2026,61-72,51442AEZ,IONIQ 5 SEL AWD,0,0.0449,0.0449,0.0549,0.0649,0.0849,0.0949,0.1049,0.1149
H700,MS,IONIQ 5,2026,61-72,51442REZ,IONIQ 5 SEL RWD,0,0.0449,0.0449,0.0549,0.0649,0.0849,0.0949,0.1049,0.1149
H700,MS,IONIQ 5,2026,61-72,51452AEZ,IONIQ 5 XRT AWD,0,0.0449,0.0449,0.0549,0.0649,0.0849,0.0949,0.1049,0.1149
H700,MS,IONIQ 5,2026,61-72,51462AEZ,IONIQ 5 Limited AWD,0,0.0449,0.0449,0.0549,0.0649,0.0849,0.0949,0.1049,0.1149
H700,MS,IONIQ 5,2026,61-72,51462REZ,IONIQ 5 Limited RWD,0,0.0449,0.0449,0.0549,0.0649,0.0849,0.0949,0.1049,0.1149
H700,MS,IONIQ 5,2026,73-84,51412AEZ,IONIQ 5 SE AWD,0,0.0699,0.0699,0.0799,0.0849,,,,
H700,MS,IONIQ 5,2026,73-84,51412REZ,IONIQ 5 SE RWD,0,0.0699,0.0699,0.0799,0.0849,,,,
H700,MS,IONIQ 5,2026,73-84,51442AEZ,IONIQ 5 SEL AWD,0,0.0699,0.0699,0.0799,0.0849,,,,
H700,MS,IONIQ 5,2026,73-84,51442REZ,IONIQ 5 SEL RWD,0,0.0699,0.0699,0.0799,0.0849,,,,
H700,MS,IONIQ 5,2026,73-84,51452AEZ,IONIQ 5 XRT AWD,0,0.0699,0.0699,0.0799,0.0849,,,,
H700,MS,IONIQ 5,2026,73-84,51462AEZ,IONIQ 5 Limited AWD,0,0.0699,0.0699,0.0799,0.0849,,,,
H700,MS,IONIQ 5,2026,73-84,51462REZ,IONIQ 5 Limited RWD,0,0.0699,0.0699,0.0799,0.0849,,,,
H700,MS,IONIQ 5,2025,24,50402REZ,4dr Wgn SE (Standard Range),0,0,0,0.0199,0.0299,0.0499,0.0599,0.0699,0.0849
H700,MS,IONIQ 5,2025,24,50412AEZ,4dr Wgn SE,0,0,0,0.0199,0.0299,0.0499,0.0599,0.0699,0.0849
H700,MS,IONIQ 5,2025,24,50412REZ,4dr Wgn SE,0,0,0,0.0199,0.0299,0.0499,0.0599,0.0699,0.0849
H700,MS,IONIQ 5,2025,24,50442AEZ,4dr Wgn SEL,0,0,0,0.0199,0.0299,0.0499,0.0599,0.0699,0.0849
H700,MS,IONIQ 5,2025,24,50442REZ,4dr Wgn SEL,0,0,0,0.0199,0.0299,0.0499,0.0599,0.0699,0.0849
H700,MS,IONIQ 5,2025,24,50452AEZ,4dr Wgn XRT,0,0,0,0.0199,0.0299,0.0499,0.0599,0.0699,0.0849
H700,MS,IONIQ 5,2025,24,50462AEZ,4dr Wgn Limited,0,0,0,0.0199,0.0299,0.0499,0.0599,0.0699,0.0849
H700,MS,IONIQ 5,2025,24,50462REZ,4dr Wgn Limited,0,0,0,0.0199,0.0299,0.0499,0.0599,0.0699,0.0849
H700,MS,IONIQ 5,2025,24,504C2AEZ,4dr Wgn XRT w/ Tow Hitch,0,0,0,0.0199,0.0299,0.0499,0.0599,0.0699,0.0849
H700,MS,IONIQ 5,2025,24,51402REZ,4dr Wgn SE (Standard Range),0,0,0,0.0199,0.0299,0.0499,0.0599,0.0699,0.0849
